0.00	3.08
0.03	3.07
0.07	3.03
0.08	3.00
0.10	2.96
0.12	2.93
0.13	2.89
0.15	2.84
0.17	2.80
0.18	2.78
0.20	2.75
0.22	2.69
0.23	2.64
0.25	2.59
0.27	2.53
0.28	2.48
0.30	2.44
0.32	2.38
0.33	2.32
0.35	2.27
0.37	2.22
0.38	2.17
0.40	2.12
0.42	2.07
0.43	2.02
0.45	1.96
0.47	1.91
0.48	1.85
0.50	1.80
0.52	1.74
0.53	1.69
0.55	1.64
0.57	1.58
0.58	1.54
0.60	1.48
0.62	1.43
0.63	1.36
0.65	1.33
0.67	1.27
0.68	1.21
0.70	1.16
0.72	1.11
0.73	1.06
0.75	1.00
0.77	0.95
0.78	0.89
0.80	0.84
0.82	0.79
0.83	0.74
0.85	0.69
0.87	0.64
0.88	0.59
0.90	0.54
0.92	0.49
0.93	0.43
0.95	0.38
0.97	0.33
0.98	0.28
1.00	0.23
1.02	0.19
1.03	0.13
1.05	0.07
1.07	0.02
1.08	0.00
